CD_SETOR,CD_FCU,NM_FCU,CD_MUN,NM_MUN,CD_UF,NM_UF,total_fcu_mun,total_setores_mun,total_fcu_uf,total_setores_uf,total_municipios_uf
230440005220039,23044000835,Parque Alto Alegre,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
355030843000249,35503081817,Buraco do Sapo,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
310780220000005,31078020002,Areião,3107802,Bom Jesus do Galho,31,Minas Gerais,2,3,653,1691,59
150140275000356,15014020006,Área das Malvinas,1501402,Belém,15,Pará,214,1156,723,2460,43
150420805000510,15042080006,Nossa Senhora Aparecida,1504208,Marabá,15,Pará,21,88,723,2460,43
150140245000494,15014020071,Mata Fome,1501402,Belém,15,Pará,214,1156,723,2460,43
355030876000471,35503080810,Fazenda da Juta / Fazenda da Juta IV,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
330455705300455,33045571283,Rua Myron Clark,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
355030822000500,35503081330,Canto da Noite / Mar Desconhecido,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
330455705150237,33045570902,"Rua Felizardo Fortes, nº 276",3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
260290220000114,26029020047,Xaréu,2602902,Cabo de Santo Agostinho,26,Pernambuco,59,212,849,2381,33
292740805130095,29274080255,Periperi,2927408,Salvador,29,Bahia,262,1822,572,2484,28
260345405100029,26034540022,Comunidade da Asa Branca,2603454,Camaragibe,26,Pernambuco,24,46,849,2381,33
320520010070014,32052000015,Pedra dos Búzios,3205200,Vila Velha,32,Espírito Santo,61,188,516,1194,49
330455705211366,33045570715,Vila Nova Esperança,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
320520010080014,32052000001,Alecrim,3205200,Vila Velha,32,Espírito Santo,61,188,516,1194,49
211130005000717,21113000051,Vila Cascavel,2111300,São Luís,21,Maranhão,100,548,198,872,14
261160605230783,26116060627,Encanta Moça,2611606,Recife,26,Pernambuco,295,779,849,2381,33
352310705000434,35231070030,Pequeno Coração II,3523107,Itaquaquecetuba,35,São Paulo,69,146,3123,7995,92
160030305000626,16003030071,Equatorial,1600303,Macapá,16,Amapá,83,216,121,314,6
260760405000112,26076040010,Por do Sol,2607604,Ilha de Itamaracá,26,Pernambuco,10,20,849,2381,33
354780908000221,35478090079,Ipiranga II,3547809,Santo André,35,São Paulo,76,210,3123,7995,92
292740805060063,29274080337,Nordeste de Amaralina,2927408,Salvador,29,Bahia,262,1822,572,2484,28
150370505000102,15037050005,Portelinha,1503705,Itupiranga,15,Pará,2,2,723,2460,43
130260305120006,13026030206,Loteamento Riacho Doce I,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
130260305100178,13026030280,Mauazinho,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
130260305120494,13026030252,Conjunto Braga Mendes,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
130260305140034,13026030079,Comunidade São Lucas,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
150080005000276,15008000013,Floresta Parque,1500800,Ananindeua,15,Pará,124,448,723,2460,43
221100105070092,22110010164,Vila Firmino Filho,2211001,Teresina,22,Piauí,170,369,173,372,3
270030005000242,27003000007,Frei Damião,2700300,Arapiraca,27,Alagoas,9,12,251,413,17
330455705220086,33045570698,"Avenida Santa Cruz, nº 3.556 / Marco",3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
351060930000327,35106090087,Comunidade Eduardo Augusto Mesquita,3510609,Carapicuíba,35,São Paulo,66,133,3123,7995,92
521560320000032,52156030002,"Planalto Das Perdizes, Santa Bárbara E Itapeti",5215603,Padre Bernardo,52,Goiás,1,5,152,242,24
351880010000631,35188000194,Jardim Fátima,3518800,Guarulhos,35,São Paulo,170,403,3123,7995,92
330455705060018,33045570170,Quinta do Caju,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
292740805220807,29274080167,Invasão das Barreiras,2927408,Salvador,29,Bahia,262,1822,572,2484,28
312980610000159,31298060009,Lajinha,3129806,Ibirité,31,Minas Gerais,24,72,653,1691,59
260790115000295,26079010149,Santo Antônio Alto,2607901,Jaboatão dos Guararapes,26,Pernambuco,132,567,849,2381,33
351350405000206,35135040012,Vila Esperança,3513504,Cubatão,35,São Paulo,12,80,3123,7995,92
150080005000375,15008000032,Una,1500800,Ananindeua,15,Pará,124,448,723,2460,43
130260305070143,13026030276,São Raimundo,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
293135005000276,29313500003,Padre Aparecido,2931350,Teixeira de Freitas,29,Bahia,4,7,572,2484,28
355030893000086,35503080203,Vila Prudente,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
211130005001492,21113000041,Coroado,2111300,São Luís,21,Maranhão,100,548,198,872,14
150140255000505,15014020067,Caraparu,1501402,Belém,15,Pará,214,1156,723,2460,43
330455705320195,33045570307,Parque Proletário Engenho da Rainha,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
510340305000007,51034030032,Novo Paraíso,5103403,Cuiabá,51,Mato Grosso,47,125,58,143,5
351060930000139,35106090072,Reciclagem,3510609,Carapicuíba,35,São Paulo,66,133,3123,7995,92
355030830000645,35503081230,Santo Antônio II,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
260940205000143,26094020026,Nossa Senhora da Conceição,2609402,Moreno,26,Pernambuco,20,40,849,2381,33
355030872000177,35503080803,Mangue,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
230440005240181,23044000764,Comunidade 7 de setembro mutirão,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
150080005000301,15008000049,Elo Perdido I,1500800,Ananindeua,15,Pará,124,448,723,2460,43
355700605000259,35570060019,Capoavinha,3557006,Votorantim,35,São Paulo,9,13,3123,7995,92
150442205000102,15044220043,Novo Horizonte II,1504422,Marituba,15,Pará,48,130,723,2460,43
150080005000786,15008000113,Riacho Belo,1500800,Ananindeua,15,Pará,124,448,723,2460,43
260790110000224,26079010133,Gameleira,2607901,Jaboatão dos Guararapes,26,Pernambuco,132,567,849,2381,33
330330205000167,33033020004,Morro do Cavalão,3303302,Niterói,33,Rio de Janeiro,83,209,1724,4895,53
130260305070071,13026030240,Compensa II A,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
330455705230769,33045570934,Bairro Fernão Magalhães,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
330455705300363,33045570095,Fazenda Botafogo / Margem da Linha,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
313130710000115,31313070020,Barra Alegre,3131307,Ipatinga,31,Minas Gerais,19,52,653,1691,59
351870105000293,35187010076,Praia do Góes,3518701,Guarujá,35,São Paulo,55,201,3123,7995,92
355030830000895,35503080209,Avenida Belmira Marin,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
430760905000132,43076090005,Vila Perimetral,4307609,Estância Velha,43,Rio Grande do Sul,2,2,481,901,53
330455705120050,33045570004,Barreira do Vasco,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
261160605220574,26116060708,Parque Residencial Alto dos Milagres,2611606,Recife,26,Pernambuco,295,779,849,2381,33
330455705240151,33045570205,Vala do Sangue,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
350635905000392,35063590003,Núcleo Vicente de Carvalho,3506359,Bertioga,35,São Paulo,24,42,3123,7995,92
130370005000002,13037000001,Igarapé do Franco,1303700,Santo Antônio do Içá,13,Amazonas,6,14,392,2019,30
260170605000155,26017060005,Comunidade Loteamento Tereza Mendonça,2601706,Belo Jardim,26,Pernambuco,6,7,849,2381,33
250750705000250,25075070075,Ninho da Perua,2507507,João Pessoa,25,Paraíba,157,330,282,572,12
355030823000359,35503080370,Jardim Beatriz,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
240810205090325,24081020102,Condomínio Village de Prata,2408102,Natal,24,Rio Grande do Norte,73,218,101,259,5
130420305000151,13042030014,São José B,1304203,Tefé,13,Amazonas,11,26,392,2019,30
292740805270131,29274080315,Alto da Sereia,2927408,Salvador,29,Bahia,262,1822,572,2484,28
510340310430301,51034030004,Região do Passaredo,5103403,Cuiabá,51,Mato Grosso,47,125,58,143,5
330455705220107,33045570203,Tibagi,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
130340305000132,13034030005,Invasão União,1303403,Parintins,13,Amazonas,16,37,392,2019,30
150140255000261,15014020050,Bacia do Tucunduba Canudos,1501402,Belém,15,Pará,214,1156,723,2460,43
314480505000321,31448050003,Chácara Bom Retiro,3144805,Nova Lima,31,Minas Gerais,13,19,653,1691,59
